timestamp,sales_rank,asin,category,region,pages,stockmessage,avg_review_score,no_reviews
2023-02-28 03:01:42,185.0,BUTGL9GD2C,Festive & Seasonal Dishes,UK,320.0,In stock,4.7,8236
2023-02-28 03:39:28,1.0,BYJAK6DGLM,Weight Control Nutrition,UK,192.0,In stock,4.7,938
2023-02-28 02:00:53,12.0,BMGITI1Y7T,Self Help Stress Management,UK,368.0,In stock,4.6,7210
2023-02-04 00:58:27,257.0,BXOF2OQ2RV,Practical & Motivational Self Help,UK,304.0,In stock.,4.5,6282
2023-02-04 01:43:39,96.0,B02OMW4YSQ,Spirits & Cocktails,UK,320.0,In stock.,4.7,5286
2023-02-04 02:01:06,1.0,BYJAK6DGLM,Weight Control Nutrition,UK,192.0,In stock.,4.7,496
2023-02-04 03:37:42,14.0,BMGITI1Y7T,Popular Psychology,UK,368.0,In stock.,4.6,6964
2023-02-04 04:34:24,2.0,BB6Y3W6PVB,Biographies & Memoirs (Books),UK,416.0,In stock.,4.2,33463
2023-02-04 01:53:03,3967.0,B63L3OE3QA,Romance (Books),UK,416.0,In stock.,4.2,25839
2023-02-04 02:32:07,11072.0,B1QLGDCPTN,Fiction,UK,384.0,In stock.,4.2,13061
2023-02-04 03:38:11,53.0,BQJY6LYEQ1,Tarot,UK,192.0,In stock.,4.7,2180
2023-02-04 04:21:32,233.0,BUTGL9GD2C,Festive & Seasonal Dishes,UK,320.0,In stock.,4.7,8136
2023-02-22 01:51:41,2362.0,B63L3OE3QA,Romance (Books),UK,416.0,In stock,4.2,26956
2023-02-22 02:36:02,14416.0,B1QLGDCPTN,Fiction,UK,384.0,In stock,4.2,13335
2023-02-22 01:58:59,2.0,BYJAK6DGLM,Healthy Eating,UK,192.0,In stock,4.7,773
2023-02-22 03:50:23,9.0,BMGITI1Y7T,Art Relaxation & Therapy,UK,368.0,In stock,4.6,7143
2023-02-22 04:45:38,172.0,BUTGL9GD2C,Festive & Seasonal Dishes,UK,320.0,In stock,4.7,8180
2023-02-22 00:59:15,146.0,BXOF2OQ2RV,Practical & Motivational Self Help,UK,304.0,In stock,4.5,6366
2023-02-22 01:42:09,160.0,B02OMW4YSQ,Spirits & Cocktails,UK,320.0,In stock,4.7,5431
2023-02-22 03:50:34,76.0,BQJY6LYEQ1,Tarot,UK,192.0,In stock,4.7,2267
2023-02-22 05:01:08,16.0,BB6Y3W6PVB,Biographies & Memoirs (Books),UK,416.0,In stock,4.1,51176
2023-02-23 17:22:19,191.0,B02OMW4YSQ,Italian Food & Drink,UK,320.0,In stock,4.7,5447
2023-02-23 17:54:58,1.0,BYJAK6DGLM,Home & Garden (Books),UK,192.0,In stock,4.7,816
2023-02-23 20:27:32,23346.0,B1QLGDCPTN,Fiction,UK,384.0,In stock,4.2,13374
2023-02-24 13:52:01,168.0,BUTGL9GD2C,Festive & Seasonal Dishes,UK,320.0,In stock,4.7,8215
2023-02-23 23:56:55,12.0,BMGITI1Y7T,Self Help Stress Management,UK,368.0,In stock,4.6,7166
2023-02-23 17:38:33,1957.0,B63L3OE3QA,Romance (Books),UK,416.0,In stock,4.2,27085
2023-02-24 02:24:43,136.0,BXOF2OQ2RV,Practical & Motivational Self Help,UK,304.0,In stock,4.5,6378
2023-02-24 08:31:10,,B1QLGDCPTN,,UK,,In stock,4.2,13383
2023-02-24 10:44:14,11.0,BMGITI1Y7T,Emotional Self Help,UK,368.0,In stock,4.6,7167
2023-02-24 10:44:15,70.0,BQJY6LYEQ1,Tarot,UK,192.0,In stock,4.7,2278
2023-02-24 05:04:42,173.0,BUTGL9GD2C,Festive & Seasonal Dishes,UK,320.0,In stock,4.7,8193
2023-02-24 13:37:00,2258.0,B63L3OE3QA,Romance (Books),UK,416.0,In stock,4.2,27146
2023-02-16 02:33:28,8303.0,B1QLGDCPTN,Fiction,UK,384.0,In stock,4.2,13235
2023-02-16 01:40:26,112.0,B02OMW4YSQ,Italian Food & Drink,UK,320.0,In stock,4.7,5391
2023-02-16 01:49:19,2834.0,B63L3OE3QA,Romance (Books),UK,416.0,In stock.,4.2,26574
2023-02-07 05:22:57,3.0,BB6Y3W6PVB,Biographies & Memoirs (Books),UK,416.0,In stock.,4.2,37002
2023-02-07 01:46:06,94.0,B02OMW4YSQ,Italian Food & Drink,UK,320.0,In stock.,4.7,5323
2023-02-07 05:05:11,108.0,BUTGL9GD2C,Festive & Seasonal Dishes,UK,320.0,In stock.,4.7,8143
2023-02-07 04:03:48,41.0,BQJY6LYEQ1,Tarot,UK,192.0,In stock.,4.7,2194
2023-02-07 01:56:12,3924.0,B63L3OE3QA,Romance (Books),UK,416.0,In stock.,4.2,26045
2023-02-07 02:03:42,1.0,BYJAK6DGLM,Weight Control Nutrition,UK,192.0,In stock.,4.7,528
2023-02-07 04:03:30,13.0,BMGITI1Y7T,Self Help Stress Management,UK,368.0,In stock.,4.6,6985
