activity_day,product_id,glance_views
2023-02-01,219405,1360
2023-02-01,151323,233
2023-02-01,230626,92
2023-02-01,267629,9148
2023-02-01,255109,6050
2023-02-01,147024,768
2023-02-01,20791,792
2023-02-01,169124,722
2023-02-01,50891,16974
2023-02-02,219405,2642
2023-02-02,151323,138
2023-02-02,230626,90
2023-02-02,267629,5350
2023-02-02,255109,4165
2023-02-02,147024,424
2023-02-02,20791,562
2023-02-02,169124,179
2023-02-02,50891,11472
2023-02-03,219405,1337
2023-02-03,151323,197
2023-02-03,230626,65
2023-02-03,267629,4740
2023-02-03,255109,3283
2023-02-03,147024,358
2023-02-03,20791,430
2023-02-03,169124,252
2023-02-03,50891,12008
2023-02-04,219405,522
2023-02-04,151323,261
2023-02-04,230626,64
2023-02-04,267629,4777
2023-02-04,255109,2704
2023-02-04,147024,545
2023-02-04,20791,456
2023-02-04,169124,347
2023-02-04,50891,10154
2023-02-05,219405,1381
2023-02-05,151323,261
2023-02-05,230626,88
2023-02-05,267629,4875
2023-02-05,255109,3498
2023-02-05,147024,611
2023-02-05,20791,514
2023-02-05,169124,575
2023-02-05,50891,9346
2023-02-06,219405,1927
2023-02-06,151323,191
2023-02-06,230626,93
2023-02-06,267629,4731
2023-02-06,255109,3590
2023-02-06,147024,562
2023-02-06,20791,430
2023-02-06,169124,526
2023-02-06,50891,9920
2023-02-07,219405,1381
2023-02-07,151323,213
2023-02-07,230626,79
2023-02-07,267629,4259
2023-02-07,255109,3459
2023-02-07,147024,418
2023-02-07,20791,494
2023-02-07,169124,385
2023-02-07,50891,15972
2023-02-08,219405,686
2023-02-08,151323,185
2023-02-08,230626,67
2023-02-08,267629,3719
2023-02-08,255109,3184
2023-02-08,147024,404
2023-02-08,20791,272
2023-02-08,169124,291
2023-02-08,50891,9885
2023-02-09,219405,697
2023-02-09,151323,167
2023-02-09,230626,73
2023-02-09,267629,3431
2023-02-09,255109,3070
2023-02-09,147024,229
2023-02-09,20791,378
2023-02-09,169124,316
2023-02-09,50891,9467
2023-02-10,219405,841
2023-02-10,151323,213
2023-02-10,230626,56
2023-02-10,267629,3488
2023-02-10,255109,2484
2023-02-10,147024,304
2023-02-10,20791,378
2023-02-10,169124,326
2023-02-10,50891,3354
2023-02-11,151323,205
2023-02-11,230626,63
2023-02-11,267629,3242
2023-02-11,255109,6406
2023-02-11,147024,436
2023-02-11,20791,438
2023-02-11,169124,427
2023-02-11,50891,4813
2023-02-12,219405,791
2023-02-12,151323,240
2023-02-12,230626,64
2023-02-12,267629,3485
2023-02-12,255109,4991
2023-02-12,147024,614
2023-02-12,20791,415
2023-02-12,169124,602
2023-02-12,50891,11048
2023-02-13,219405,1322
2023-02-13,151323,188
2023-02-13,230626,67
2023-02-13,267629,2744
2023-02-13,255109,4299
2023-02-13,147024,419
2023-02-13,20791,467
2023-02-13,169124,458
2023-02-13,50891,8537
