timestamp,sales_rank,asin,category,pages,stock_message,avg_review_score,no_reviews
"2023-02-01 01:01:35",281,BXOF2OQ2RV,"Self Help/Psychology",304,"In stock",4.5,6269
"2023-02-01 01:47:19",129,B02OMW4YSQ,"Food and Drink",320,"In stock",4.7,5257
"2023-02-01 01:57:29",1870,B63L3OE3QA,Fiction,416,"In stock",4.2,25679
"2023-02-01 02:05:42",1,BYJAK6DGLM,"Food and Drink",192,Unknown,4.8,471
"2023-02-01 02:44:09",5656,B1QLGDCPTN,Fiction,384,"In stock",4.2,13015
"2023-02-01 03:49:25",10,BMGITI1Y7T,Medical/Science,368,"In stock",4.6,6945
"2023-02-01 03:50:01",44,BQJY6LYEQ1,Tarot,192,"In stock",4.7,2164
"2023-02-01 04:34:06",254,BUTGL9GD2C,"Food and Drink",320,"In stock",4.7,8129
"2023-02-01 04:45:48",2,BB6Y3W6PVB,Biographies,416,"In stock",4.2,29644
"2023-02-02 00:56:06",377,BXOF2OQ2RV,"Self Help/Psychology",304,"In stock",4.5,6276
"2023-02-02 01:33:51",105,B02OMW4YSQ,"Food and Drink",320,"In stock",4.7,5265
"2023-02-02 01:43:02",2445,B63L3OE3QA,Fiction,416,"In stock",4.2,25736
"2023-02-02 01:49:32",1,BYJAK6DGLM,"Food and Drink",192,"In stock",4.7,480
"2023-02-02 02:21:15",9987,B1QLGDCPTN,Fiction,384,"In stock",4.2,13029
"2023-02-02 03:26:12",8,BMGITI1Y7T,Medical/Science,368,"In stock",4.6,6954
"2023-02-02 03:26:32",44,BQJY6LYEQ1,Tarot,192,"In stock",4.7,2169
"2023-02-02 04:13:36",177,BUTGL9GD2C,"Food and Drink",320,"In stock",4.7,8132
"2023-02-02 04:27:02",2,BB6Y3W6PVB,Biographies,416,"In stock",4.2,30918
"2023-02-03 01:06:54",286,BXOF2OQ2RV,"Lifestyle / Family",304,"In stock",4.5,6279
"2023-02-03 02:01:55",112,B02OMW4YSQ,"Food and Drink",320,"In stock",4.7,5270
"2023-02-03 02:14:31",2552,B63L3OE3QA,Fiction,416,"In stock",4.2,25785
"2023-02-03 02:22:27",1,BYJAK6DGLM,"Food and Drink",192,"In stock",4.7,490
"2023-02-03 03:03:07",9038,B1QLGDCPTN,Fiction,384,"In stock",4.2,13045
"2023-02-03 04:10:22",45,BQJY6LYEQ1,Tarot,192,"In stock",4.7,2174
"2023-02-03 04:10:44",14,BMGITI1Y7T,Medical/Science,368,"In stock",4.6,6960
"2023-02-03 05:06:35",189,BUTGL9GD2C,"Food and Drink",320,"In stock",4.7,8134
"2023-02-03 05:23:09",2,BB6Y3W6PVB,Biographies,416,"In stock",4.2,32432
"2023-02-04 00:58:27",257,BXOF2OQ2RV,"Self Help/Psychology",304,"In stock",4.5,6282
"2023-02-04 01:43:39",96,B02OMW4YSQ,"Food and Drink",320,"In stock",4.7,5286
"2023-02-04 01:53:03",3967,B63L3OE3QA,Fiction,416,"In stock",4.2,25839
"2023-02-04 02:01:06",1,BYJAK6DGLM,"Food and Drink",192,"In stock",4.7,496
"2023-02-04 02:32:07",11072,B1QLGDCPTN,Fiction,384,"In stock",4.2,13061
"2023-02-04 03:37:42",14,BMGITI1Y7T,"Self Help/Psychology",368,"In stock",4.6,6964
"2023-02-04 03:38:11",53,BQJY6LYEQ1,Tarot,192,"In stock",4.7,2180
"2023-02-04 04:21:32",233,BUTGL9GD2C,"Food and Drink",320,"In stock",4.7,8136
"2023-02-04 04:34:24",2,BB6Y3W6PVB,Biographies,416,"In stock",4.2,33463
"2023-02-05 00:52:47",299,BXOF2OQ2RV,"Self Help/Psychology",304,"In stock",4.5,6285
"2023-02-05 01:23:48",112,B02OMW4YSQ,"Food and Drink",320,"In stock",4.7,5307
"2023-02-05 01:30:45",1642,B63L3OE3QA,Fiction,416,"In stock",4.2,25909
"2023-02-05 01:36:03",1,BYJAK6DGLM,"Food and Drink",192,"In stock",4.7,507
"2023-02-05 02:01:56",9412,B1QLGDCPTN,Fiction,384,"In stock",4.2,13079
"2023-02-05 02:55:08",42,BQJY6LYEQ1,Tarot,192,"In stock",4.7,2184
"2023-02-05 02:56:07",17,BMGITI1Y7T,"Self Help/Psychology",368,"In stock",4.6,6972
"2023-02-05 03:33:11",154,BUTGL9GD2C,"Food and Drink",320,"In stock",4.7,8138
"2023-02-05 03:43:51",2,BB6Y3W6PVB,Biographies,416,"In stock",4.2,34523
"2023-02-06 01:07:38",299,BXOF2OQ2RV,"Self Help/Psychology",304,"In stock",4.5,6291
"2023-02-06 02:00:44",104,B02OMW4YSQ,"Food and Drink",320,"In stock",4.7,5316
"2023-02-06 02:13:07",2822,B63L3OE3QA,Fiction,416,"In stock",4.2,25969
"2023-02-06 02:21:20",1,BYJAK6DGLM,"Food and Drink",192,Unknown,4.7,521
"2023-02-06 03:04:06",7540,B1QLGDCPTN,Fiction,384,"In stock",4.2,13093
"2023-02-06 04:23:03",12,BMGITI1Y7T,Medical/Science,368,"In stock",4.6,6978
"2023-02-06 04:23:16",30,BQJY6LYEQ1,Tarot,192,"In stock",4.7,2188
"2023-02-06 05:17:46",135,BUTGL9GD2C,"Food and Drink",320,"In stock",4.7,8140
"2023-02-06 05:35:59",2,BB6Y3W6PVB,Biographies,416,"In stock",4.2,35882
"2023-02-07 01:02:09",242,BXOF2OQ2RV,"Lifestyle / Family",304,"In stock",4.5,6296
"2023-02-07 01:46:06",94,B02OMW4YSQ,"Food and Drink",320,"In stock",4.7,5323
"2023-02-07 01:56:12",3924,B63L3OE3QA,Fiction,416,"In stock",4.2,26045
"2023-02-07 02:03:42",1,BYJAK6DGLM,"Food and Drink",192,"In stock",4.7,528
"2023-02-07 02:41:51",8119,B1QLGDCPTN,Fiction,384,"In stock",4.2,13118
"2023-02-07 04:03:30",13,BMGITI1Y7T,"Self Help/Psychology",368,"In stock",4.6,6985
"2023-02-07 04:03:48",41,BQJY6LYEQ1,Tarot,192,"In stock",4.7,2194
"2023-02-07 05:05:11",108,BUTGL9GD2C,"Food and Drink",320,"In stock",4.7,8143
"2023-02-07 05:22:57",3,BB6Y3W6PVB,Biographies,416,"In stock",4.2,37002
"2023-02-08 01:04:46",247,BXOF2OQ2RV,"Lifestyle / Family",304,"In stock",4.5,6302
"2023-02-08 01:50:44",79,B02OMW4YSQ,"Food and Drink",320,"In stock",4.7,5331
"2023-02-08 02:02:56",2413,B63L3OE3QA,Fiction,416,"In stock",4.2,26114
"2023-02-08 02:11:09",1,BYJAK6DGLM,"Lifestyle / Family",192,"In stock",4.7,534
"2023-02-08 02:54:53",5368,B1QLGDCPTN,Fiction,384,"In stock",4.2,13129
"2023-02-08 04:13:15",8,BMGITI1Y7T,"Self Help/Psychology",368,"In stock",4.6,6992
"2023-02-08 04:13:59",40,BQJY6LYEQ1,Tarot,192,"In stock",4.7,2199
"2023-02-08 05:15:41",156,BUTGL9GD2C,"Food and Drink",320,"In stock",4.7,8146
"2023-02-08 05:32:21",2,BB6Y3W6PVB,Biographies,416,"In stock",4.2,38139
"2023-02-09 01:02:11",315,BXOF2OQ2RV,"Self Help/Psychology",304,"Only 3 left in stock",4.5,6309
"2023-02-09 01:47:46",85,B02OMW4YSQ,"Food and Drink",320,"In stock",4.7,5339
"2023-02-09 01:57:33",3241,B63L3OE3QA,Fiction,416,"In stock",4.2,26178
"2023-02-09 02:05:13",1,BYJAK6DGLM,"Food and Drink",192,"In stock",4.7,550
"2023-02-09 02:41:43",3112,B1QLGDCPTN,Fiction,384,"In stock",4.2,13144
"2023-02-09 03:47:50",8,BMGITI1Y7T,"Self Help/Psychology",368,"In stock",4.6,7000
"2023-02-09 03:48:09",47,BQJY6LYEQ1,Tarot,192,"In stock",4.7,2203
"2023-02-09 04:36:32",179,BUTGL9GD2C,"Food and Drink",320,"In stock",4.7,8150
"2023-02-09 04:50:20",2,BB6Y3W6PVB,Biographies,416,"In stock",4.2,39022
"2023-02-10 01:08:07",328,BXOF2OQ2RV,"Self Help/Psychology",304,"In stock",4.5,6311
"2023-02-10 02:03:48",125,B02OMW4YSQ,"Food and Drink",320,"In stock",4.7,5345
"2023-02-10 02:17:53",3421,B63L3OE3QA,Fiction,416,"In stock",4.2,26233
"2023-02-10 02:26:57",1,BYJAK6DGLM,"Lifestyle / Family",192,"In stock",4.7,557
"2023-02-10 03:15:42",4347,B1QLGDCPTN,Fiction,384,"In stock",4.2,13156
"2023-02-10 04:35:48",9,BMGITI1Y7T,Medical/Science,368,"In stock",4.6,7009
"2023-02-10 04:36:05",57,BQJY6LYEQ1,Tarot,192,"In stock",4.7,2209
"2023-02-10 05:31:47",173,BUTGL9GD2C,"Food and Drink",320,"In stock",4.7,8150
